price	timestamp
61188.73	2024-05-09 16:00:01
61335.77	2024-05-09 16:05:02
61328.23	2024-05-09 16:10:02
61288.02	2024-05-09 16:15:03
61229.71	2024-05-09 16:20:01
61326.00	2024-05-09 16:25:02
61307.35	2024-05-09 16:30:02
61330.87	2024-05-09 16:35:01
61383.63	2024-05-09 16:40:02
61384.72	2024-05-09 16:45:03
61375.25	2024-05-09 16:50:02
61257.12	2024-05-09 16:55:01
61266.78	2024-05-09 17:00:02
61287.69	2024-05-09 17:05:02
61232.87	2024-05-09 17:10:01
61220.12	2024-05-09 17:15:02
61172.82	2024-05-09 17:20:02
61093.00	2024-05-09 17:25:01
61046.46	2024-05-09 17:30:02
